time,type,event,run,plate,barcode,replicate,transfer,comment
2022-04-29T12:12:54Z,timing,readAgar_end,1,6,2022042706,0,14,none
2022-04-29T12:08:53Z,timing,readAgar_start,1,6,2022042706,0,14,none
2022-04-29T12:08:47Z,timing,readAgar_end,1,5,2022042705,0,14,none
2022-04-29T12:04:43Z,timing,readAgar_start,1,5,2022042705,0,14,none
2022-04-29T12:04:37Z,timing,readAgar_end,1,4,2022042704,0,14,none
2022-04-29T12:00:29Z,timing,readAgar_start,1,4,2022042704,0,14,none
2022-04-29T12:00:24Z,timing,readAgar_end,1,3,2022042703,0,14,none
2022-04-29T11:56:24Z,timing,readAgar_start,1,3,2022042703,0,14,none
2022-04-29T11:56:18Z,timing,readAgar_end,1,2,2022042702,0,14,none
2022-04-29T11:52:14Z,timing,readAgar_start,1,2,2022042702,0,14,none
2022-04-29T11:52:09Z,timing,readAgar_end,1,1,2022042701,0,14,none
2022-04-29T11:47:44Z,timing,readAgar_start,1,1,2022042701,0,14,none
2022-04-28T15:20:41Z,timing,end14_end,1,0,none,0,14,none
2022-04-28T15:18:28Z,timing,replication_end,1,6,$AssayPlate.ID$,0,14,none
2022-04-28T15:10:11Z,timing,replication_start,1,6,2022042706,0,14,none
2022-04-28T15:09:46Z,timing,readOD_end,1,6,2022042706,0,14,none
2022-04-28T15:04:58Z,timing,readOD_start,1,6,2022042706,0,14,none
2022-04-28T15:04:56Z,timing,incubation_end,1,6,2022042706,0,13,none
2022-04-28T15:04:28Z,timing,readAgar_end,1,6,2022042606,0,14,none
2022-04-28T15:00:36Z,timing,readAgar_start,1,6,2022042606,0,14,none
2022-04-28T14:58:14Z,timing,replication_end,1,5,$AssayPlate.ID$,0,14,none
2022-04-28T14:49:57Z,timing,replication_start,1,5,2022042705,0,14,none
2022-04-28T14:49:32Z,timing,readOD_end,1,5,2022042705,0,14,none
2022-04-28T14:44:44Z,timing,readOD_start,1,5,2022042705,0,14,none
2022-04-28T14:44:42Z,timing,incubation_end,1,5,2022042705,0,13,none
2022-04-28T14:44:14Z,timing,readAgar_end,1,5,2022042605,0,14,none
2022-04-28T14:40:19Z,timing,readAgar_start,1,5,2022042605,0,14,none
2022-04-28T14:37:57Z,timing,replication_end,1,4,$AssayPlate.ID$,0,14,none
2022-04-28T14:29:39Z,timing,replication_start,1,4,2022042704,0,14,none
2022-04-28T14:29:15Z,timing,readOD_end,1,4,2022042704,0,14,none
2022-04-28T14:24:20Z,timing,readOD_start,1,4,2022042704,0,14,none
2022-04-28T14:24:17Z,timing,incubation_end,1,4,2022042704,0,13,none
2022-04-28T14:23:50Z,timing,readAgar_end,1,4,2022042604,0,14,none
2022-04-28T14:19:52Z,timing,readAgar_start,1,4,2022042604,0,14,none
