transfer,run,desc,plate_n,barcode,ab
0,1,assay,1,2021041701,N
0,1,assay,2,2021041702,N
0,1,assay,3,2021041703,N
0,1,assay,4,2021041704,N
0,1,assay,5,2021041705,N
0,1,assay,6,2021041706,N
0,1,agar,1,2021041707,N
0,1,agar,2,2021041708,N
0,1,agar,3,2021041709,N
0,1,agar,4,2021041710,N
0,1,agar,5,2021041711,N
0,1,agar,6,2021041712,N
0,1,agar,1,2021041713,A
0,1,agar,2,2021041714,A
0,1,agar,3,2021041715,A
0,1,agar,4,2021041716,A
0,1,agar,5,2021041717,A
0,1,agar,6,2021041718,A
0,1,agar,1,2021041719,B
0,1,agar,2,2021041720,B
0,1,agar,3,2021041721,B
0,1,agar,4,2021041722,B
0,1,agar,5,2021041723,B
0,1,agar,6,2021041724,B
0,1,agar,1,2021041725,AB
0,1,agar,2,2021041726,AB
0,1,agar,3,2021041727,AB
0,1,agar,4,2021041728,AB
0,1,agar,5,2021041729,AB
0,1,agar,6,2021041730,AB
1,1,on,1,2021041731,N
0,1,test,1,2021041732,N
0,1,test,1,2021041733,A
0,1,test,1,2021041734,B
0,1,test,1,2021041735,AB
1,1,assay,1,2021041801,N
1,1,assay,2,2021041802,N
1,1,assay,3,2021041803,N
1,1,assay,4,2021041804,N
1,1,assay,5,2021041805,N
1,1,assay,6,2021041806,N
1,1,agar,1,2021041807,N
1,1,agar,2,2021041808,N
1,1,agar,3,2021041809,N
1,1,agar,4,2021041810,N
1,1,agar,5,2021041811,N
1,1,agar,6,2021041812,N
1,1,agar,1,2021041813,A
1,1,agar,2,2021041814,A
1,1,agar,3,2021041815,A
1,1,agar,4,2021041816,A
1,1,agar,5,2021041817,A
1,1,agar,6,2021041818,A
1,1,agar,1,2021041819,B
1,1,agar,2,2021041820,B
1,1,agar,3,2021041821,B
1,1,agar,4,2021041822,B
1,1,agar,5,2021041823,B
1,1,agar,6,2021041824,B
1,1,agar,1,2021041825,AB
1,1,agar,2,2021041826,AB
1,1,agar,3,2021041827,AB
1,1,agar,4,2021041828,AB
1,1,agar,5,2021041829,AB
1,1,agar,6,2021041830,AB
2,1,on,1,2021041831,N
1,1,test,1,2021041832,N
1,1,test,1,2021041833,A
1,1,test,1,2021041834,B
1,1,test,1,2021041835,AB
2,1,assay,1,2021041901,N
2,1,assay,2,2021041902,N
2,1,assay,3,2021041903,N
2,1,assay,4,2021041904,N
2,1,assay,5,2021041905,N
2,1,assay,6,2021041906,N
2,1,agar,1,2021041907,N
2,1,agar,2,2021041908,N
2,1,agar,3,2021041909,N
2,1,agar,4,2021041910,N
2,1,agar,5,2021041911,N
2,1,agar,6,2021041912,N
2,1,agar,1,2021041913,A
2,1,agar,2,2021041914,A
2,1,agar,3,2021041915,A
2,1,agar,4,2021041916,A
2,1,agar,5,2021041917,A
2,1,agar,6,2021041918,A
2,1,agar,1,2021041919,B
2,1,agar,2,2021041920,B
2,1,agar,3,2021041921,B
2,1,agar,4,2021041922,B
2,1,agar,5,2021041923,B
2,1,agar,6,2021041924,B
2,1,agar,1,2021041925,AB
2,1,agar,2,2021041926,AB
2,1,agar,3,2021041927,AB
2,1,agar,4,2021041928,AB
2,1,agar,5,2021041929,AB
2,1,agar,6,2021041930,AB
3,1,on,1,2021041931,N
2,1,test,1,2021041932,N
2,1,test,1,2021041933,A
2,1,test,1,2021041934,B
2,1,test,1,2021041935,AB
3,1,assay,1,2021042001,N
3,1,assay,2,2021042002,N
3,1,assay,3,2021042003,N
3,1,assay,4,2021042004,N
3,1,assay,5,2021042005,N
3,1,assay,6,2021042006,N
3,1,agar,1,2021042007,N
3,1,agar,2,2021042008,N
3,1,agar,3,2021042009,N
3,1,agar,4,2021042010,N
3,1,agar,5,2021042011,N
3,1,agar,6,2021042012,N
3,1,agar,1,2021042013,A
3,1,agar,2,2021042014,A
3,1,agar,3,2021042015,A
3,1,agar,4,2021042016,A
3,1,agar,5,2021042017,A
3,1,agar,6,2021042018,A
3,1,agar,1,2021042019,B
3,1,agar,2,2021042020,B
3,1,agar,3,2021042021,B
3,1,agar,4,2021042022,B
3,1,agar,5,2021042023,B
3,1,agar,6,2021042024,B
3,1,agar,1,2021042025,AB
3,1,agar,2,2021042026,AB
3,1,agar,3,2021042027,AB
3,1,agar,4,2021042028,AB
3,1,agar,5,2021042029,AB
3,1,agar,6,2021042030,AB
4,1,on,1,2021042031,N
3,1,test,1,2021042032,N
3,1,test,1,2021042033,A
3,1,test,1,2021042034,B
3,1,test,1,2021042035,AB
4,1,assay,1,2021042101,N
4,1,assay,2,2021042102,N
4,1,assay,3,2021042103,N
4,1,assay,4,2021042104,N
4,1,assay,5,2021042105,N
4,1,assay,6,2021042106,N
4,1,agar,1,2021042107,N
4,1,agar,2,2021042108,N
4,1,agar,3,2021042109,N
4,1,agar,4,2021042110,N
4,1,agar,5,2021042111,N
4,1,agar,6,2021042112,N
4,1,agar,1,2021042113,A
4,1,agar,2,2021042114,A
4,1,agar,3,2021042115,A
4,1,agar,4,2021042116,A
4,1,agar,5,2021042117,A
4,1,agar,6,2021042118,A
4,1,agar,1,2021042119,B
4,1,agar,2,2021042120,B
4,1,agar,3,2021042121,B
4,1,agar,4,2021042122,B
4,1,agar,5,2021042123,B
4,1,agar,6,2021042124,B
4,1,agar,1,2021042125,AB
4,1,agar,2,2021042126,AB
4,1,agar,3,2021042127,AB
4,1,agar,4,2021042128,AB
4,1,agar,5,2021042129,AB
4,1,agar,6,2021042130,AB
5,1,on,1,2021042131,N
4,1,test,1,2021042132,N
4,1,test,1,2021042133,A
4,1,test,1,2021042134,B
4,1,test,1,2021042135,AB
5,1,assay,1,2021042201,N
5,1,assay,2,2021042202,N
5,1,assay,3,2021042203,N
5,1,assay,4,2021042204,N
5,1,assay,5,2021042205,N
5,1,assay,6,2021042206,N
5,1,agar,1,2021042207,N
5,1,agar,2,2021042208,N
5,1,agar,3,2021042209,N
5,1,agar,4,2021042210,N
5,1,agar,5,2021042211,N
5,1,agar,6,2021042212,N
5,1,agar,1,2021042213,A
5,1,agar,2,2021042214,A
5,1,agar,3,2021042215,A
